SUBJ
***************************************************************
#epochs, accuracy, precision, recall, F1
5,  0.9650,    0.9834,    0.9460,    0.9643
10, 0.9680,    0.9680,    0.9680,    0.9680
15, 0.9620,    0.9812,    0.9420,    0.9612
20, 0.9690,    0.9662,    0.9720,    0.9691
25, 0.9720,    0.9777,    0.9660,    0.9718
30, 0.9730,    0.9759,    0.9700,    0.9729


tasksource
***************************************************************
#epochs, accuracy, precision, recall, F1
5,  0.5251,    0.6098,    0.2212,    0.3247
10, 0.5845,    0.6667,    0.3894,    0.4916
15, 0.5616,    0.6977,    0.2655,    0.3846
20, 0.5708,    0.6508,    0.3628,    0.4659
25, 0.6073,    0.7213,    0.3894,    0.5057
30, 0.6119,    0.7258,    0.3982,    0.5143



bard
***************************************************************
#epochs, accuracy, precision, recall, F1
5,  0.6100,    1.0000,    0.2200,    0.3607
10, 0.7800,    1.0000,    0.5600,    0.7179
15, 0.7400,    1.0000,    0.4800,    0.6486
20, 0.7500,    0.9032,    0.5600,    0.6914
25, 0.8100,    1.0000,    0.6200,    0.7654
30, 0.8300,    1.0000,    0.6600,    0.7952


ai21
***************************************************************
#epochs, accuracy, precision, recall, F1
5,  0.7200,    1.0000,    0.4400,    0.6111 
10, 0.8000,    1.0000,    0.6000,    0.7500
15, 0.6800,    1.0000,    0.3600,    0.5294
20, 0.7600,    1.0000,    0.5200,    0.6842
25, 0.7100,    1.0000,    0.4200,    0.5915
30, 0.7200,    1.0000,    0.4400,    0.6111


